Wavelength (nm),Reflectance (%
200,0.262265749
201,0.287878392
202,0.306901088
203,0.339869179
204,0.375880803
205,0.400423963
206,0.422897508
207,0.443897245
208,0.463186158
209,0.471435392
210,0.478714399
211,0.48160316
212,0.480608572
213,0.469760307
214,0.456955385
215,0.433098284
216,0.400157944
217,0.36451088
218,0.322899917
219,0.278578088
220,0.234274046
221,0.193389499
222,0.161618362
223,0.144160682
224,0.142323128
225,0.157821739
226,0.190922903
227,0.236777928
228,0.29356149
229,0.352868964
230,0.412804566
231,0.470211073
232,0.525754863
233,0.570857533
234,0.611075418
235,0.643969981
236,0.67043126
237,0.695179655
238,0.712719703
239,0.726206844
240,0.738537045
241,0.747241658
242,0.754495998
243,0.757332961
244,0.761645452
245,0.764255164
246,0.760880096
247,0.760590138
248,0.756441504
249,0.752067036
250,0.745655292
251,0.741125739
252,0.731912501
253,0.721877567
254,0.709938261
255,0.698249168
256,0.683748101
257,0.670577169
258,0.652105528
259,0.639078241
260,0.620302853
261,0.605810748
262,0.590179709
263,0.577313551
264,0.565366486
265,0.555004786
266,0.547247342
267,0.543952819
268,0.541788202
269,0.54225568
270,0.54755718
271,0.556097251
272,0.568844592
273,0.581879518
274,0.597069359
275,0.614371351
276,0.631266776
277,0.648734897
278,0.667633644
279,0.684559945
280,0.699880076
281,0.718123924
282,0.733975539
283,0.747377524
284,0.760606637
285,0.77308261
286,0.784308171
287,0.794047284
288,0.803413084
289,0.814582945
290,0.821323541
291,0.829836044
292,0.837547819
293,0.84226746
294,0.849851836
295,0.852673135
296,0.859355341
297,0.861314088
298,0.867434281
299,0.872969213
300,0.874259895
301,0.873716851
302,0.878289707
303,0.88239143
304,0.884155619
305,0.884391721
306,0.888073852
307,0.886619529
308,0.891787636
309,0.892616689
310,0.892719096
311,0.894130114
312,0.897799405
313,0.898257426
314,0.899722528
315,0.901604236
316,0.90000284
317,0.900122487
318,0.901174023
319,0.90342185
320,0.906097594
321,0.902763268
322,0.909720877
323,0.903130788
324,0.907000521
325,0.904586546
326,0.903628534
327,0.903279839
328,0.899967053
329,0.902834665
330,0.902204964
331,0.902469091
332,0.901186022
333,0.90026537
334,0.900401403
335,0.897253483
336,0.900317048
337,0.896821721
338,0.892615071
339,0.892731846
340,0.892423718
341,0.891016095
342,0.892634736
343,0.892490479
344,0.890584965
345,0.890907688
346,0.885668861
347,0.88700972
348,0.888067911
349,0.883427154
350,0.887587386
351,0.887783439
352,0.881403828
353,0.882382376
354,0.885087479
355,0.883002774
356,0.879365495
357,0.885547398
358,0.882910815
359,0.883642809
360,0.880636938
361,0.882133134
362,0.88450773
363,0.886436419
364,0.883496357
365,0.885188457
366,0.886679843
367,0.885519245
368,0.887225244
369,0.887726655
370,0.886474173
371,0.89168496
372,0.889976474
373,0.890734623
374,0.896212858
375,0.890477384
376,0.891619744
377,0.896331017
378,0.897341339
379,0.897304931
380,0.902777214
381,0.905951454
382,0.909601098
383,0.905850029
384,0.907608384
385,0.909660177
386,0.914298045
387,0.912176014
388,0.914955932
389,0.9157548
390,0.916639562
391,0.921111182
392,0.918309675
393,0.916229021
394,0.919742575
395,0.922858543
396,0.921099703
397,0.92239984
398,0.923314518
399,0.920508928
400,0.92557846
401,0.925414612
